 method
 BJAC
 N=        3847
 iteration,||dx||,||err||,relaxation
     1, 6.845E-01, 1.207E-01, 8.000E-01
     2, 2.028E-01, 4.844E-02, 8.000E-01
     3, 9.921E-02, 1.968E-02, 8.000E-01
     4, 3.842E-02, 7.008E-03, 8.000E-01
     5, 1.296E-02, 2.290E-03, 8.000E-01
     6, 4.027E-03, 7.091E-04, 8.000E-01
     7, 1.189E-03, 2.113E-04, 8.000E-01
     8, 3.398E-04, 6.100E-05, 8.000E-01
     9, 9.467E-05, 1.714E-05, 8.000E-01
    10, 2.585E-05, 4.709E-06, 8.000E-01
    11, 6.939E-06, 1.270E-06, 8.000E-01
    12, 1.837E-06, 3.376E-07, 8.000E-01
    13, 4.819E-07, 8.898E-08, 8.000E-01
    14, 1.258E-07, 2.338E-08, 8.000E-01
    15, 3.293E-08, 6.174E-09, 8.000E-01
    16, 8.728E-09, 1.654E-09, 8.000E-01
    17, 2.372E-09, 4.554E-10, 8.000E-01
    18, 6.702E-10, 1.304E-10, 8.000E-01
    19, 1.988E-10, 3.912E-11, 8.000E-01
    20, 6.189E-11, 1.228E-11, 8.000E-01
    21, 2.023E-11, 3.998E-12, 8.000E-01
    22, 6.926E-12, 1.334E-12, 8.000E-01
    23, 2.648E-12, 4.521E-13, 8.000E-01
