 method
 GMRES
 N=        1285
 iteration,||err||
     1, 2.680E-01
     2, 2.331E-01
     3, 2.330E-01
     4, 2.042E-01
     5, 1.307E-01
     6, 1.161E-01
     7, 1.060E-01
     8, 1.060E-01
     9, 1.044E-01
    10, 1.040E-01
    11, 1.038E-01
    12, 9.696E-02
    13, 8.455E-02
    14, 8.300E-02
    15, 8.249E-02
    16, 8.214E-02
    17, 8.143E-02
    18, 8.091E-02
    19, 7.878E-02
    20, 7.681E-02
    21, 7.564E-02
    22, 7.484E-02
    23, 7.435E-02
    24, 7.406E-02
    25, 7.261E-02
    26, 7.048E-02
    27, 6.890E-02
    28, 6.833E-02
    29, 6.794E-02
    30, 6.786E-02
    31, 6.774E-02
    32, 6.771E-02
    33, 6.750E-02
    34, 6.635E-02
    35, 6.384E-02
    36, 6.288E-02
    37, 6.253E-02
    38, 6.221E-02
    39, 6.211E-02
    40, 6.209E-02
    41, 6.209E-02
    42, 6.193E-02
    43, 6.185E-02
    44, 6.164E-02
    45, 6.132E-02
    46, 6.089E-02
    47, 6.014E-02
    48, 5.940E-02
    49, 5.888E-02
    50, 5.866E-02
    51, 5.862E-02
    52, 5.856E-02
    53, 5.827E-02
    54, 5.806E-02
    55, 5.804E-02
    56, 5.800E-02
    57, 5.776E-02
    58, 5.762E-02
    59, 5.754E-02
    60, 5.753E-02
    61, 5.752E-02
    62, 5.747E-02
    63, 5.746E-02
    64, 5.745E-02
    65, 5.744E-02
    66, 5.744E-02
    67, 5.740E-02
    68, 5.729E-02
    69, 5.721E-02
    70, 5.710E-02
    71, 5.696E-02
    72, 5.690E-02
    73, 5.689E-02
    74, 5.689E-02
    75, 5.689E-02
    76, 5.683E-02
    77, 5.673E-02
    78, 5.666E-02
    79, 5.661E-02
    80, 5.659E-02
    81, 5.655E-02
    82, 5.655E-02
    83, 5.652E-02
    84, 5.649E-02
    85, 5.649E-02
    86, 5.649E-02
    87, 5.646E-02
    88, 5.646E-02
    89, 5.644E-02
    90, 5.644E-02
    91, 5.644E-02
    92, 5.643E-02
