 method
 GMRES
 N=        5541
 iteration,||err||
     1, 4.594E-01
     2, 3.621E-01
     3, 3.617E-01
     4, 3.439E-01
     5, 2.668E-01
     6, 2.647E-01
     7, 2.579E-01
     8, 2.443E-01
     9, 2.440E-01
    10, 1.978E-01
    11, 1.887E-01
    12, 1.678E-01
    13, 1.609E-01
    14, 1.458E-01
    15, 1.263E-01
    16, 1.230E-01
    17, 1.152E-01
    18, 1.095E-01
    19, 1.059E-01
    20, 9.833E-02
    21, 8.749E-02
    22, 8.314E-02
    23, 8.293E-02
    24, 8.263E-02
    25, 8.084E-02
    26, 7.769E-02
    27, 7.712E-02
    28, 7.712E-02
    29, 7.692E-02
    30, 7.692E-02
    31, 7.691E-02
    32, 7.680E-02
    33, 7.570E-02
    34, 7.384E-02
    35, 7.365E-02
    36, 7.363E-02
    37, 7.206E-02
    38, 6.714E-02
    39, 6.651E-02
    40, 6.643E-02
    41, 6.634E-02
    42, 6.630E-02
    43, 6.574E-02
    44, 6.550E-02
    45, 6.547E-02
    46, 6.484E-02
    47, 6.473E-02
    48, 6.464E-02
    49, 6.451E-02
    50, 6.445E-02
    51, 6.441E-02
    52, 6.440E-02
    53, 6.432E-02
    54, 6.420E-02
    55, 6.412E-02
    56, 6.405E-02
    57, 6.382E-02
    58, 6.341E-02
    59, 6.270E-02
    60, 6.042E-02
    61, 5.950E-02
    62, 5.833E-02
    63, 5.725E-02
    64, 5.585E-02
    65, 5.219E-02
    66, 4.751E-02
    67, 4.098E-02
    68, 3.551E-02
    69, 3.191E-02
    70, 3.074E-02
    71, 3.020E-02
    72, 3.005E-02
    73, 3.002E-02
    74, 2.953E-02
    75, 2.836E-02
    76, 2.701E-02
    77, 2.536E-02
    78, 2.388E-02
    79, 2.231E-02
    80, 2.134E-02
    81, 2.084E-02
    82, 2.053E-02
    83, 2.023E-02
    84, 2.006E-02
    85, 1.998E-02
    86, 1.991E-02
    87, 1.984E-02
    88, 1.980E-02
    89, 1.979E-02
    90, 1.979E-02
    91, 1.979E-02
    92, 1.975E-02
    93, 1.975E-02
    94, 1.975E-02
    95, 1.975E-02
    96, 1.974E-02
    97, 1.974E-02
    98, 1.974E-02
    99, 1.974E-02
   100, 1.973E-02
   101, 1.973E-02
   102, 1.973E-02
   103, 1.969E-02
   104, 1.969E-02
   105, 1.968E-02
   106, 1.967E-02
   107, 1.966E-02
   108, 1.964E-02
   109, 1.960E-02
   110, 1.955E-02
   111, 1.938E-02
   112, 1.916E-02
   113, 1.890E-02
   114, 1.872E-02
   115, 1.860E-02
   116, 1.851E-02
   117, 1.847E-02
   118, 1.843E-02
   119, 1.843E-02
   120, 1.841E-02
   121, 1.840E-02
   122, 1.839E-02
   123, 1.839E-02
   124, 1.838E-02
   125, 1.837E-02
   126, 1.836E-02
   127, 1.835E-02
   128, 1.829E-02
   129, 1.826E-02
   130, 1.821E-02
   131, 1.819E-02
   132, 1.817E-02
   133, 1.815E-02
   134, 1.815E-02
   135, 1.815E-02
   136, 1.815E-02
   137, 1.815E-02
   138, 1.815E-02
   139, 1.814E-02
   140, 1.814E-02
   141, 1.812E-02
   142, 1.812E-02
   143, 1.809E-02
   144, 1.809E-02
   145, 1.806E-02
   146, 1.803E-02
   147, 1.801E-02
   148, 1.801E-02
   149, 1.801E-02
   150, 1.800E-02
   151, 1.797E-02
   152, 1.795E-02
   153, 1.790E-02
   154, 1.776E-02
   155, 1.761E-02
   156, 1.736E-02
   157, 1.714E-02
   158, 1.665E-02
   159, 1.619E-02
   160, 1.596E-02
   161, 1.586E-02
   162, 1.582E-02
   163, 1.581E-02
   164, 1.580E-02
   165, 1.580E-02
   166, 1.580E-02
   167, 1.580E-02
   168, 1.580E-02
   169, 1.580E-02
   170, 1.580E-02
   171, 1.579E-02
   172, 1.579E-02
   173, 1.579E-02
   174, 1.578E-02
   175, 1.577E-02
   176, 1.577E-02
   177, 1.577E-02
   178, 1.577E-02
   179, 1.576E-02
   180, 1.575E-02
   181, 1.574E-02
   182, 1.574E-02
   183, 1.573E-02
   184, 1.573E-02
   185, 1.573E-02
   186, 1.572E-02
   187, 1.571E-02
   188, 1.571E-02
   189, 1.570E-02
